Exp.Grp,Replicate,biosynthetic process    ,carbohydrate metabolic process   ,catabolic process    ,cell communication    ,cell division    ,cell motility    ,cellular amino acid metabolic process,cellular component organization   ,cellular respiration    ,chemotaxis     ,cofactor metabolic process   ,conjugation     ,DNA metabolic process   ,electron transport chain   ,generation of precursor metabolites and energy,homeostatic process    ,lipid metabolic process   ,nitrogen compound metabolic process  ,nucleotide metabolic process   ,oxidation-reduction process    ,phosphorylation     ,protein metabolic process   ,response to stress   ,RNA metabolic process   ,signal transduction    ,small molecule metabolic process  ,sporulation     ,sulfur compound metabolic process  ,"transcription, DNA-templated    ",translation     ,transport     ,transposition     ,cofactor binding    ,enzyme regulator activity   ,hydrolase activity    ,isomerase activity    ,ligase activity    ,lyase activity    ,metal ion binding   ,nucleic acid binding   ,nucleic acid binding transcription factor activity,nucleotide binding    ,oxidoreductase activity    ,phosphorelay response regulator activity  ,receptor activity    ,"transcription factor activity, protein binding ",transferase activity    ,transporter activity    ,unfolded protein binding   ,ATP-binding cassette (ABC) transporter complex,cell wall    ,chromosome     ,cytoplasm     ,DNA polymerase complex   ,membrane     ,periplasmic space    ,ribosome
0,1,0.0734368514,0.0224297925,0.0155154203,0.0015271313,0.0016670975,0.0005323715,0.0391270108,0.0105851525,0.0024902320,0.0005209159,0.0144723389,0.0008360481,0.0309887675,0.0029392903,0.0043064602,0.0012053340,0.0097651421,0.0325158988,0.0189487580,0.0503988724,0.0043658208,0.0142463518,0.0169511153,0.0248708697,0.0007679396,0.0368663067,0.0002670189,0.0094745873,0.0045915997,0.0066977578,0.0515523439,0.0036391213,0.0163410543,0.0002457740,0.0636896216,0.0133069952,0.0306788423,0.0156418481,0.0242239426,0.0377602575,0.0022890306,0.0669700795,0.0522396780,0.0002391089,0.0003826159,0.0011878382,0.0652719479,0.0323621859,0.0014979716,0.0037905431,0.0001882879,0.0014059105,0.0209630633,0.0008235511,0.0314182471,0.0027320487,0.0058498375
0,2,0.0736409305,0.0227293178,0.0155256458,0.0015035552,0.0016016996,0.0005016036,0.0389367427,0.0105202824,0.0024990196,0.0005225299,0.0143232202,0.0008399820,0.0311017240,0.0029443314,0.0043237936,0.0012183296,0.0098535703,0.0321850790,0.0188711345,0.0504223557,0.0044141952,0.0141112367,0.0170779593,0.0246664661,0.0007696696,0.0365195450,0.0002636715,0.0095177030,0.0044857632,0.0067391080,0.0517679172,0.0037566907,0.0164346846,0.0002132391,0.0638354908,0.0133162463,0.0303795572,0.0156593649,0.0240549994,0.0378019091,0.0022679932,0.0669455585,0.0521801655,0.0002366765,0.0003708142,0.0011971940,0.0655068749,0.0325314093,0.0015372465,0.0038449997,0.0001839422,0.0013671156,0.0207720803,0.0008127778,0.0317071221,0.0028164717,0.0058712940
0,3,0.0737467369,0.0224627787,0.0154717309,0.0014943735,0.0016363122,0.0004892662,0.0390510666,0.0106435489,0.0024605456,0.0005428280,0.0142233295,0.0009068421,0.0306678247,0.0028976921,0.0042033633,0.0011878354,0.0098075731,0.0323204115,0.0187723723,0.0506673797,0.0043382978,0.0142760673,0.0167141581,0.0246011296,0.0007881821,0.0366387266,0.0002610107,0.0094662198,0.0043834133,0.0066828616,0.0524110215,0.0036520891,0.0163660066,0.0002249595,0.0639846912,0.0133370882,0.0304041360,0.0154358857,0.0244284959,0.0374664621,0.0023583662,0.0666945051,0.0524785918,0.0002472082,0.0003726664,0.0011905135,0.0651125786,0.0328218321,0.0014521421,0.0038397613,0.0001757238,0.0013763316,0.0209865337,0.0008126969,0.0320338560,0.0027129039,0.0058190749
1,1,0.0727662992,0.0209662817,0.0156275865,0.0014581384,0.0015495623,0.0006401789,0.0388530747,0.0107728260,0.0027479975,0.0007064771,0.0142072423,0.0007801653,0.0309745668,0.0026679752,0.0041919895,0.0013320873,0.0100317218,0.0322084737,0.0185643439,0.0501727554,0.0041617964,0.0139564070,0.0170090807,0.0239712376,0.0010195989,0.0364908314,0.0003053096,0.0092686589,0.0045388938,0.0065198168,0.0536101277,0.0037711859,0.0167812598,0.0002613923,0.0634689251,0.0131815203,0.0302011581,0.0158630085,0.0246912277,0.0375843296,0.0025138424,0.0658463706,0.0523791768,0.0003196672,0.0005914054,0.0012691674,0.0642258649,0.0343733003,0.0016272622,0.0036934861,0.0001729243,0.0013523568,0.0204916371,0.0007419488,0.0335481621,0.0033144883,0.0056634297
1,2,0.0729117817,0.0227582359,0.0162924943,0.0015339007,0.0015516979,0.0004947636,0.0385288258,0.0100218550,0.0025367758,0.0005343625,0.0143917478,0.0007190090,0.0305674476,0.0028740337,0.0043298489,0.0011948630,0.0100062824,0.0324862138,0.0185878948,0.0511862313,0.0043572122,0.0139256822,0.0164804777,0.0235640065,0.0006869739,0.0377446344,0.0002825314,0.0093026236,0.0044889119,0.0064795345,0.0524364883,0.0040226239,0.0170895887,0.0002496065,0.0633286289,0.0132298097,0.0307761204,0.0157185329,0.0254342752,0.0368994874,0.0023372241,0.0659125674,0.0532206797,0.0002229106,0.0003902047,0.0012551512,0.0652100209,0.0333676227,0.0014898525,0.0038675653,0.0001341468,0.0013525911,0.0203037724,0.0007801870,0.0319578579,0.0025670311,0.0056245990
1,3,0.0726195576,0.0222270077,0.0157333649,0.0014603649,0.0016911831,0.0004707504,0.0389648239,0.0103126347,0.0025184406,0.0005404834,0.0141023769,0.0007600680,0.0312327324,0.0026123363,0.0040686740,0.0013825777,0.0097793577,0.0318825841,0.0186507034,0.0501962802,0.0042609165,0.0143103040,0.0173433695,0.0244546470,0.0007208564,0.0361316312,0.0003261976,0.0093329821,0.0045012727,0.0067568899,0.0529311261,0.0036702000,0.0165595626,0.0002314541,0.0654345200,0.0133480317,0.0304777513,0.0155182314,0.0247797848,0.0376235773,0.0024209416,0.0662424897,0.0524656745,0.0002083510,0.0004785927,0.0011877917,0.0649427861,0.0336227286,0.0014662996,0.0035650707,0.0001536668,0.0013469693,0.0204150107,0.0008177195,0.0323355304,0.0025366686,0.0058741004
2,1,0.0722898796,0.0207788055,0.0156344620,0.0015268493,0.0014011138,0.0006823220,0.0389570269,0.0108613881,0.0028291557,0.0007845219,0.0141574404,0.0007425394,0.0308206863,0.0026349335,0.0041834102,0.0013631599,0.0101156682,0.0318829714,0.0183595095,0.0499935542,0.0040812103,0.0141451425,0.0169367684,0.0239777467,0.0011256830,0.0365122869,0.0002883648,0.0094028134,0.0046536993,0.0064466500,0.0539812580,0.0036306403,0.0165669829,0.0002444740,0.0638963430,0.0129293455,0.0301608397,0.0158358933,0.0244215317,0.0378300717,0.0023480529,0.0660955488,0.0520649041,0.0003481581,0.0006185001,0.0013027305,0.0641003187,0.0348238685,0.0016341380,0.0036859809,0.0001730189,0.0014433083,0.0204130487,0.0007052216,0.0342166061,0.0033560576,0.0056033949
2,2,0.0722736675,0.0211981697,0.0161546283,0.0015161259,0.0014074898,0.0006509477,0.0389373647,0.0104881674,0.0028295369,0.0006689813,0.0141798406,0.0006702850,0.0304111661,0.0026637581,0.0043367546,0.0013103691,0.0100936009,0.0320895944,0.0183949228,0.0505127626,0.0041212205,0.0143623493,0.0167430017,0.0236061983,0.0009664271,0.0370425332,0.0003200421,0.0093881178,0.0045548960,0.0063628186,0.0539537036,0.0036686424,0.0168446851,0.0002403031,0.0635601801,0.0130035285,0.0302903627,0.0159579969,0.0245734945,0.0373199899,0.0023826078,0.0656153585,0.0524619122,0.0003176521,0.0005190635,0.0013268818,0.0645231308,0.0348148406,0.0015845667,0.0036062853,0.0001744696,0.0014074898,0.0202717207,0.0007137394,0.0339644369,0.0031050381,0.0055421812
2,3,0.0725612585,0.0217384395,0.0156749828,0.0014454155,0.0015805922,0.0005707929,0.0388427353,0.0103162244,0.0025863658,0.0006457969,0.0141897346,0.0007527941,0.0303355051,0.0027514169,0.0041461942,0.0013049420,0.0099433233,0.0321421685,0.0184263997,0.0508329890,0.0042858202,0.0141649452,0.0169790773,0.0240783940,0.0009155146,0.0363184491,0.0003078553,0.0093591822,0.0044762964,0.0064452566,0.0536676731,0.0035046348,0.0166332963,0.0002606070,0.0645445204,0.0130415806,0.0303901690,0.0156309127,0.0251119233,0.0371320515,0.0024766142,0.0657526352,0.0529612797,0.0002722602,0.0005140103,0.0012360824,0.0654053710,0.0340227766,0.0015532602,0.0036084538,0.0001447111,0.0013458340,0.0203828593,0.0007644473,0.0330691244,0.0028323534,0.0056216961
3,1,0.0725514482,0.0213799336,0.0157733091,0.0015170262,0.0014515892,0.0006748992,0.0386779675,0.0106268821,0.0026683752,0.0007647147,0.0142396029,0.0006935038,0.0303835078,0.0027524168,0.0041952383,0.0012937706,0.0100022368,0.0322672806,0.0183336919,0.0507076818,0.0041759922,0.0139222549,0.0167020440,0.0237647485,0.0010685904,0.0370702703,0.0002643141,0.0094706147,0.0044518540,0.0065056346,0.0537793713,0.0036563454,0.0168893734,0.0002638864,0.0632735091,0.0131186202,0.0301951092,0.0159105985,0.0248468111,0.0372274474,0.0024130426,0.0657939026,0.0527422163,0.0003293234,0.0005530067,0.0012559198,0.0645071889,0.0344925661,0.0015813940,0.0035579761,0.0001618817,0.0013957753,0.0204293864,0.0007266500,0.0337567207,0.0031076156,0.0056829676
3,2,0.0730050397,0.0208456719,0.0157978602,0.0014774239,0.0015077629,0.0006785681,0.0389687389,0.0107434252,0.0027277327,0.0007871048,0.0142151044,0.0007050613,0.0304315146,0.0027749504,0.0042391277,0.0012665465,0.0101637793,0.0323212926,0.0184822209,0.0501022980,0.0042102843,0.0142804828,0.0167710585,0.0240368221,0.0011276708,0.0368191565,0.0002719827,0.0093273202,0.0043950958,0.0063137172,0.0533904476,0.0034562960,0.0168537429,0.0002704872,0.0637847606,0.0130186367,0.0304761685,0.0159416500,0.0244874204,0.0371432710,0.0024371619,0.0660824059,0.0523839191,0.0003414206,0.0005736635,0.0012729562,0.0644353399,0.0342785855,0.0015823285,0.0036210240,0.0001749834,0.0013973033,0.0204179347,0.0007046340,0.0337602586,0.0034174108,0.0055009738
3,3,0.0726179206,0.0215047546,0.0158955597,0.0015175613,0.0015225235,0.0006252335,0.0387211148,0.0106658629,0.0027313515,0.0007221038,0.0143091752,0.0006301957,0.0309343897,0.0027494742,0.0043397422,0.0012936164,0.0100434341,0.0320636073,0.0185658549,0.0497004575,0.0042363996,0.0142912682,0.0168659877,0.0241452768,0.0010099097,0.0368206033,0.0002957885,0.0093668529,0.0046251749,0.0065092896,0.0529966335,0.0035772938,0.0167395602,0.0002463826,0.0639485764,0.0133644210,0.0306808875,0.0157488520,0.0243254252,0.0376119617,0.0023714862,0.0662553386,0.0517254547,0.0003149900,0.0005257744,0.0012720417,0.0644549336,0.0344642193,0.0015932884,0.0036396446,0.0001572792,0.0014254376,0.0204510484,0.0007428154,0.0334963802,0.0029071850,0.0056422042
4,1,0.0728435315,0.0219154933,0.0161427624,0.0014581699,0.0015636796,0.0006385079,0.0387425427,0.0104116687,0.0026139804,0.0007300659,0.0143410321,0.0007296299,0.0302302661,0.0027944804,0.0043034432,0.0011734682,0.0101040774,0.0325100599,0.0184761830,0.0508404042,0.0043095471,0.0142102350,0.0165408217,0.0237608226,0.0010005980,0.0372891687,0.0003023593,0.0093890532,0.0043886793,0.0062980993,0.0530436817,0.0036520736,0.0168403471,0.0002733660,0.0634795478,0.0131614601,0.0305696847,0.0156906404,0.0250892854,0.0366345291,0.0024247606,0.0656176447,0.0529074347,0.0002910236,0.0005321263,0.0012863897,0.0651171277,0.0338683880,0.0015377381,0.0037104963,0.0001652404,0.0013642140,0.0204819569,0.0007551354,0.0330216947,0.0029143778,0.0055168045
4,2,0.0728668584,0.0223831778,0.0161627933,0.0014515477,0.0014374699,0.0005831267,0.0386750904,0.0102560786,0.0025724883,0.0006702327,0.0144569663,0.0007982522,0.0301254987,0.0028775795,0.0043781793,0.0012293832,0.0100251156,0.0325457714,0.0185984635,0.0515212545,0.0043665212,0.0138516232,0.0163820982,0.0234429682,0.0009271516,0.0377853328,0.0003042113,0.0094283511,0.0043242879,0.0063169490,0.0533856762,0.0038298071,0.0168077301,0.0002571388,0.0627929106,0.0131226598,0.0303531623,0.0158099698,0.0253843775,0.0363155281,0.0023234881,0.0652039448,0.0534494659,0.0002760558,0.0004150736,0.0012804151,0.0649230497,0.0343545419,0.0015131378,0.0037444607,0.0001429771,0.0013233082,0.0201280987,0.0007810950,0.0329718432,0.0028698807,0.0054953805
4,3,0.0729987446,0.0229593754,0.0163030612,0.0014847225,0.0015397875,0.0003929019,0.0388970671,0.0099836814,0.0025745120,0.0004705345,0.0143904570,0.0006655186,0.0305556302,0.0029055787,0.0043508080,0.0012186505,0.0099568259,0.0324174573,0.0185291295,0.0511205830,0.0043284660,0.0143841380,0.0168200850,0.0237435995,0.0006989186,0.0375093853,0.0002879626,0.0093806750,0.0045094582,0.0065649154,0.0518666679,0.0038811762,0.0167988714,0.0002292868,0.0641675906,0.0132340931,0.0308690941,0.0159354350,0.0252635275,0.0367924126,0.0022192980,0.0660558219,0.0530611711,0.0002430531,0.0003019545,0.0012080437,0.0649518148,0.0335322968,0.0015325658,0.0034961729,0.0001455610,0.0013091466,0.0202903051,0.0007645903,0.0319008849,0.0023030238,0.0057035100
5,1,0.0724150519,0.0219227203,0.0158772300,0.0014665920,0.0015931690,0.0005333255,0.0386249350,0.0102427429,0.0024955889,0.0006496913,0.0141930106,0.0008856139,0.0301646948,0.0028280930,0.0041615132,0.0012781091,0.0099666134,0.0324492511,0.0181507241,0.0511739330,0.0043270206,0.0142161987,0.0165952091,0.0238277582,0.0009064619,0.0366009785,0.0003135707,0.0093513851,0.0043180858,0.0063835255,0.0540930765,0.0036820095,0.0169102690,0.0002510268,0.0642345577,0.0130604119,0.0299804667,0.0155604683,0.0254487954,0.0368460487,0.0024879305,0.0653980029,0.0532495840,0.0002801714,0.0004499336,0.0012410933,0.0651727170,0.0341938871,0.0015006295,0.0037624232,0.0001627419,0.0013381003,0.0203625252,0.0007664826,0.0333897505,0.0027006651,0.0055634338
5,2,0.0725942058,0.0222567619,0.0161998318,0.0014392179,0.0014695336,0.0006755739,0.0385052757,0.0102236696,0.0025520450,0.0007516949,0.0143755832,0.0008061302,0.0295811951,0.0029454843,0.0043490758,0.0011971355,0.0099939789,0.0325758040,0.0182807674,0.0513936228,0.0043459779,0.0141578418,0.0160956080,0.0233417074,0.0010278548,0.0376551104,0.0002655384,0.0094044837,0.0042948618,0.0062076231,0.0539854985,0.0036538079,0.0170522099,0.0002763812,0.0629086940,0.0131111780,0.0302032187,0.0159190250,0.0254635802,0.0362231947,0.0023683809,0.0654439215,0.0534716818,0.0003239568,0.0004401298,0.0012931718,0.0649135086,0.0341557573,0.0015876981,0.0039523173,0.0001639699,0.0013553521,0.0202154357,0.0007530225,0.0333664445,0.0030160733,0.0054191955
5,3,0.0725913641,0.0231791615,0.0162842784,0.0014755762,0.0015282914,0.0005447242,0.0386661783,0.0101508377,0.0025449747,0.0006391160,0.0143883320,0.0006943093,0.0300573740,0.0029826914,0.0043900081,0.0011939777,0.0099575485,0.0324917368,0.0183987453,0.0512060977,0.0043476557,0.0141513387,0.0163264056,0.0236204827,0.0008621420,0.0377434363,0.0003147145,0.0093301470,0.0045535605,0.0064531114,0.0526990203,0.0037195784,0.0167490286,0.0002588453,0.0637527754,0.0133015870,0.0307287048,0.0158790019,0.0251724284,0.0366046519,0.0023122617,0.0656460185,0.0531045222,0.0002678565,0.0003784684,0.0012755286,0.0648692572,0.0338650364,0.0015145494,0.0036332966,0.0001707613,0.0013325241,0.0202784716,0.0007490520,0.0326046015,0.0024571159,0.0056067389
6,1,0.0722482125,0.0232354202,0.0163412804,0.0014530594,0.0014880103,0.0005035198,0.0384625532,0.0101427782,0.0026431970,0.0005815394,0.0142329463,0.0007398336,0.0302801875,0.0029237069,0.0043370800,0.0011342161,0.0099459252,0.0324615804,0.0182680949,0.0513251951,0.0043361780,0.0144110837,0.0164380158,0.0236214595,0.0008525787,0.0379464059,0.0002787060,0.0093483759,0.0044784624,0.0063933258,0.0522860092,0.0036723347,0.0169803199,0.0002464609,0.0643510920,0.0134563578,0.0306233837,0.0158316724,0.0252632543,0.0366036113,0.0022269420,0.0659976220,0.0532736566,0.0002926864,0.0003995688,0.0012469612,0.0644724057,0.0335477671,0.0015276966,0.0037803445,0.0001598726,0.0013840593,0.0203473407,0.0007777160,0.0323592078,0.0024772362,0.0055614922
6,2,0.0723296514,0.0230139903,0.0163160184,0.0015201007,0.0015372617,0.0005008294,0.0384496057,0.0100597157,0.0024799860,0.0006083112,0.0143373133,0.0007315993,0.0299508609,0.0029702027,0.0043331450,0.0012071388,0.0098260103,0.0326645523,0.0182213377,0.0511665621,0.0043907246,0.0146066954,0.0163609530,0.0237099128,0.0008458552,0.0376035247,0.0003138651,0.0093050846,0.0044483042,0.0063743973,0.0531897502,0.0036356419,0.0168468794,0.0002736723,0.0645546028,0.0133103647,0.0303184670,0.0157851573,0.0252844318,0.0365368349,0.0023079247,0.0657816122,0.0530486238,0.0002680273,0.0003698641,0.0012486864,0.0650482065,0.0338256274,0.0014491988,0.0036697380,0.0001677711,0.0013636197,0.0201991395,0.0007270832,0.0327623246,0.0023178600,0.0055253808
6,3,0.0722597087,0.0230602533,0.0164271181,0.0015073880,0.0015145681,0.0005616243,0.0385411590,0.0100042273,0.0026182956,0.0006735902,0.0144530188,0.0007698494,0.0298031106,0.0031305562,0.0043949401,0.0011450135,0.0098523218,0.0327774981,0.0182098209,0.0512119238,0.0043958377,0.0142892210,0.0162388629,0.0235660069,0.0009186136,0.0378821536,0.0002869826,0.0092891268,0.0044319629,0.0063688151,0.0530112307,0.0036311490,0.0170176875,0.0002611789,0.0634294400,0.0131767427,0.0305817108,0.0158565186,0.0253994197,0.0363013932,0.0022747691,0.0658866304,0.0532501959,0.0003017917,0.0003801005,0.0012713397,0.0649819284,0.0337851907,0.0015421669,0.0039448329,0.0001602077,0.0013056699,0.0203104708,0.0007296853,0.0325670292,0.0025323579,0.0055255933
7,1,0.0723191379,0.0214552581,0.0157027895,0.0014581540,0.0016490397,0.0007156171,0.0378922230,0.0101087803,0.0024113585,0.0008167702,0.0142458590,0.0012013966,0.0295167086,0.0027619273,0.0040555037,0.0012444274,0.0098191889,0.0328060186,0.0179679247,0.0510149976,0.0042894201,0.0145635939,0.0163821057,0.0238321512,0.0011171703,0.0365662206,0.0002930584,0.0091176435,0.0040720226,0.0064132266,0.0564517708,0.0034398160,0.0165489267,0.0002736843,0.0646720887,0.0131103343,0.0293409144,0.0151433885,0.0253304809,0.0361685422,0.0026352820,0.0647473417,0.0534131001,0.0003122285,0.0005693939,0.0011885485,0.0647077778,0.0350005914,0.0014569304,0.0043049194,0.0001472430,0.0012878661,0.0204728906,0.0008259474,0.0340728792,0.0029214065,0.0056460132
7,2,0.0718592551,0.0207220767,0.0156661556,0.0014169981,0.0016940158,0.0007937583,0.0381007957,0.0103549555,0.0024718191,0.0009030496,0.0142481603,0.0012747997,0.0295086616,0.0027546204,0.0040256308,0.0013220662,0.0100723537,0.0324154523,0.0178952602,0.0503284624,0.0042408231,0.0146875195,0.0165408852,0.0241127009,0.0012059940,0.0359207526,0.0003198965,0.0090388724,0.0041223576,0.0063650239,0.0569094763,0.0032603920,0.0164455545,0.0002676441,0.0645387297,0.0130108547,0.0296359023,0.0150411209,0.0251721089,0.0361451190,0.0026580930,0.0650726219,0.0531319448,0.0003452250,0.0006814754,0.0012101822,0.0641211092,0.0351954011,0.0015157193,0.0043291735,0.0001419990,0.0013545744,0.0205669149,0.0008174912,0.0350623768,0.0034019921,0.0055836307
7,3,0.0722253796,0.0207882423,0.0159636592,0.0014330778,0.0017037725,0.0007524797,0.0378323040,0.0102551104,0.0024166480,0.0008312921,0.0143886003,0.0012439678,0.0292940354,0.0026655604,0.0040400240,0.0013049582,0.0100212477,0.0329493046,0.0181317909,0.0499559403,0.0042855700,0.0146569188,0.0162672253,0.0239825187,0.0010889174,0.0362105121,0.0003000018,0.0088667853,0.0041257671,0.0063006315,0.0578355911,0.0032374450,0.0165139595,0.0002887146,0.0642548372,0.0130260180,0.0292847284,0.0150583073,0.0248710388,0.0362192251,0.0028942746,0.0643956301,0.0529125916,0.0003207940,0.0005762410,0.0011732743,0.0645290962,0.0355774391,0.0014031767,0.0045833936,0.0001447533,0.0013380278,0.0206882417,0.0008552526,0.0350362477,0.0031608109,0.0055386468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
